date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2010-06-11,17.1,17.79,17.15,16.5,1402191.38,-0.15,-0.87,17.74,19.235,20.975,1503637.28,1703935.4,1622890.19
2010-06-04,17.9,18.2,17.3,16.92,1162101.62,-0.78,-4.31,17.962,19.863,21.189,1630308.22,1714097.77,1704299.86
2010-05-28,17.92,18.6,18.08,17.46,1267614.0,0.26,1.46,18.614,20.414,21.454,1737636.82,1693400.04,1738917.05
2010-05-21,18.0,18.17,17.82,17.02,1383949.88,-0.53,-2.89,19.03,20.91,21.769,2012884.62,1663995.16,1716612.92
2010-05-14,18.35,18.92,18.35,17.16,2302329.5,0.09,0.49,19.868,21.42,22.042,2119953.75,1682676.64,1688785.37
2010-05-07,20.1,20.3,18.26,17.95,2035546.12,-2.3,-11.19,20.73,21.912,22.321,1904233.52,1616135.85,1633077.72
2010-04-30,20.0,20.63,20.56,19.55,1698744.62,0.4,1.98,21.764,22.331,22.657,1797887.32,1555895.39,1596437.83
2010-04-23,21.55,21.58,20.16,19.31,2643853.0,-1.85,-8.4,22.214,22.52,22.894,1649163.25,1489613.01,1625849.9
2010-04-16,22.72,22.76,22.01,21.94,1919295.5,-0.65,-2.87,22.79,22.704,23.053,1315105.7,1395071.64,1580971.86
2010-04-09,23.56,23.86,22.66,22.32,1223728.38,-0.77,-3.29,22.972,22.673,23.233,1245399.52,1363666.06,1551271.43
2010-04-02,22.96,23.86,23.43,22.79,1503815.12,0.62,2.72,23.094,22.715,23.37,1328038.17,1541844.97,1563168.25
2010-03-26,22.93,23.42,22.81,22.17,955124.25,-0.23,-1.0,22.898,22.515,23.453,1313903.45,1694501.94,1607642.82
2010-03-19,22.88,23.5,23.04,22.2,973565.25,0.12,0.52,22.826,22.494,23.437,1330062.77,1784434.06,1619143.71
2010-03-12,23.32,24.27,22.92,22.88,1570764.62,-0.35,-1.5,22.618,22.627,23.425,1475037.57,1769230.67,1640981.78
2010-03-05,22.89,23.96,23.27,22.8,1636921.62,0.82,3.65,22.374,22.663,23.345,1481932.6,1694894.09,1617409.43
2010-02-26,22.31,22.62,22.45,21.22,1433141.5,0.0,0.0,22.336,22.729,23.234,1755651.78,1650019.58,1549737.05
2010-02-12,21.88,22.6,22.45,21.45,1035920.88,0.45,2.04,22.132,22.983,23.112,2075100.43,1636980.27,1503897.07
